"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","sig","regulation","Group","Comparison"
"NFKBIB",39.0391489635618,-1.8271205982084,0.420557737911838,-4.34451784737204,1.39581895728764e-05,0.0269933938602463,TRUE,"Down","Group1_AHT_None_vs_AHT_CIM7","AHT_CIM7 vs AHT_None"
"APEX1_1",52.8692146118374,-3.03406273718677,0.719517109991986,-4.21680415246909,2.47789000090323e-05,0.0348503965490672,TRUE,"Down","Group1_AHT_None_vs_AHT_CIM7","AHT_CIM7 vs AHT_None"
"PIP4P1_1",48.9189154327582,-3.61344004822152,0.631688652467952,-5.72028646407393,1.06344602897765e-08,5.48419117143772e-05,TRUE,"Down","Group1_AHT_None_vs_AHT_CIM7","AHT_CIM7 vs AHT_None"
"LSM14A_1",192.546054100105,-1.82690909514725,0.392831735347101,-4.65061483266624,3.30946907985479e-06,0.00853346602240557,TRUE,"Down","Group1_AHT_None_vs_AHT_CIM7","AHT_CIM7 vs AHT_None"
"RPS9_1",185.184646603243,-1.38292520173712,0.213121518092348,-6.48890461233427,8.64626835953797e-11,1.33766417790412e-06,TRUE,"Down","Group1_AHT_None_vs_AHT_CIM7","AHT_CIM7 vs AHT_None"
"ATF6B_1",39.7539899032628,-4.03610619991785,0.84708365349606,-4.76470792850287,1.89127399785194e-06,0.00585198000415348,TRUE,"Down","Group1_AHT_None_vs_AHT_CIM7","AHT_CIM7 vs AHT_None"
"ATMIN_1",71.444466153497,-4.49137107085886,0.977504089609039,-4.59473379047981,4.33302080055124e-06,0.0454143910105775,TRUE,"Down","Group2_WT_None_vs_WT_CIM7","WT_CIM7 vs WT_None"
"IVL",13.9033992819523,-6.12841487013271,1.29899072889541,-4.71782802895289,2.38375856283622e-06,0.00266007753188642,TRUE,"Down","Group3_WT_None_vs_AHT_None","AHT_None vs WT_None"
"USP16",49.0469141786177,-2.63170536439395,0.53220550250152,-4.94490446270128,7.61812160072899e-07,0.00109918611667661,TRUE,"Down","Group3_WT_None_vs_AHT_None","AHT_None vs WT_None"
"SMARCB1",120.675083795243,-2.30963103921442,0.515004512204716,-4.48468117167939,7.30230389264176e-06,0.00700180796552282,TRUE,"Down","Group3_WT_None_vs_AHT_None","AHT_None vs WT_None"
"ZBTB4_1",25.8039818409216,-3.55780443061572,0.869010919655762,-4.09408483845641,4.23839110171568e-05,0.0244615715013305,TRUE,"Down","Group3_WT_None_vs_AHT_None","AHT_None vs WT_None"
"FAM120B_1",21.321694750233,-2.9935068565332,0.691092386549405,-4.33155814590818,1.48057835513917e-05,0.010809033638293,TRUE,"Down","Group3_WT_None_vs_AHT_None","AHT_None vs WT_None"
"PFDN6_1",27.7100691938673,-5.62806685305323,1.25754744516803,-4.47543102622361,7.62573144759911e-06,0.00700180796552282,TRUE,"Down","Group3_WT_None_vs_AHT_None","AHT_None vs WT_None"
"HLA-F_4",34.9712584835418,-3.26776476345923,0.746023285193947,-4.38024499812991,1.18545947465469e-05,0.00957851255520989,TRUE,"Down","Group3_WT_None_vs_AHT_None","AHT_None vs WT_None"
"TAP2_5",177.84498812934,-1.34381244424561,0.28052849245951,-4.79028861725899,1.66541587716225e-06,0.00210258754491734,TRUE,"Down","Group3_WT_None_vs_AHT_None","AHT_None vs WT_None"
"IVL",13.9033992819523,-7.06031351085187,1.29743480569894,-5.44174819408242,5.2760218984071e-08,0.000517261186919832,TRUE,"Down","Group4_WT_CIM7_vs_AHT_CIM7","AHT_CIM7 vs WT_CIM7"
"RPS9_1",185.184646603243,-1.38236594265512,0.211862773777945,-6.52481754111265,6.80843634884468e-11,1.33499819928147e-06,TRUE,"Down","Group4_WT_CIM7_vs_AHT_CIM7","AHT_CIM7 vs WT_CIM7"
"RPS9_3",199.487107629714,-2.10687201374054,0.393125575019923,-5.35928504176755,8.35519411056397e-08,0.000546095487066461,TRUE,"Down","Group4_WT_CIM7_vs_AHT_CIM7","AHT_CIM7 vs WT_CIM7"
