"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","sig","regulation","Group","Comparison"
"IVL",13.9033992819523,-6.12841487013271,1.29899072889541,-4.71782802895289,2.38375856283622e-06,0.00266007753188642,TRUE,"Down","Group3_WT_None_vs_AHT_None","AHT_None vs WT_None"
"HSPA6",790.593875830396,2.88240112878951,0.484414630610761,5.95027678077212,2.6768942099933e-09,9.01221050697743e-06,TRUE,"Up","Group3_WT_None_vs_AHT_None","AHT_None vs WT_None"
"HSPA1A",130.65676925822,1.48018974046505,0.268375599411722,5.51536631388853,3.48054232868409e-08,7.81188389326875e-05,TRUE,"Up","Group3_WT_None_vs_AHT_None","AHT_None vs WT_None"
"ADAMTS15",87.6750124553767,1.00785377855327,0.25127569137231,4.01094818622927,6.04753824105627e-05,0.0321474401235096,TRUE,"Up","Group3_WT_None_vs_AHT_None","AHT_None vs WT_None"
"NFKBIB",39.0391489635618,1.83568064695433,0.411443716820465,4.46155955701552,8.13653257895247e-06,0.00714599817803652,TRUE,"Up","Group3_WT_None_vs_AHT_None","AHT_None vs WT_None"
"USP16",49.0469141786177,-2.63170536439395,0.53220550250152,-4.94490446270128,7.61812160072899e-07,0.00109918611667661,TRUE,"Down","Group3_WT_None_vs_AHT_None","AHT_None vs WT_None"
"SMARCB1",120.675083795243,-2.30963103921442,0.515004512204716,-4.48468117167939,7.30230389264176e-06,0.00700180796552282,TRUE,"Down","Group3_WT_None_vs_AHT_None","AHT_None vs WT_None"
"RUFY1_1",99.2874766825567,1.80253493251239,0.401021172081349,4.49486226165321,6.96149939654946e-06,0.00700180796552282,TRUE,"Up","Group3_WT_None_vs_AHT_None","AHT_None vs WT_None"
"APEX1_1",52.8692146118374,3.09012295257612,0.713828875323253,4.32894081396858,1.49828189045646e-05,0.010809033638293,TRUE,"Up","Group3_WT_None_vs_AHT_None","AHT_None vs WT_None"
"PIP4P1_1",48.9189154327582,2.60295483655732,0.598174620431431,4.35149661595464,1.35211408962699e-05,0.0105048863886404,TRUE,"Up","Group3_WT_None_vs_AHT_None","AHT_None vs WT_None"
"ZBTB4_1",25.8039818409216,-3.55780443061572,0.869010919655762,-4.09408483845641,4.23839110171568e-05,0.0244615715013305,TRUE,"Down","Group3_WT_None_vs_AHT_None","AHT_None vs WT_None"
"DCAF15_1",39.7816945690318,4.32282440425624,0.716292084633903,6.03500233632433,1.58960387704111e-09,9.01221050697743e-06,TRUE,"Up","Group3_WT_None_vs_AHT_None","AHT_None vs WT_None"
"HSPA1B_1",196.019738424597,1.40263673970956,0.219321932809375,6.39533275009331,1.60198105139565e-10,1.61800086190961e-06,TRUE,"Up","Group3_WT_None_vs_AHT_None","AHT_None vs WT_None"
"FAM120B_1",21.321694750233,-2.9935068565332,0.691092386549405,-4.33155814590818,1.48057835513917e-05,0.010809033638293,TRUE,"Down","Group3_WT_None_vs_AHT_None","AHT_None vs WT_None"
"PTDSS2_1",89.0589946059918,3.01876547494105,0.606216058881622,4.97968575842452,6.36875981686334e-07,0.00103989223289785,TRUE,"Up","Group3_WT_None_vs_AHT_None","AHT_None vs WT_None"
"PSMB3_1",39.2891355565173,2.46138884321963,0.574607962049405,4.28359682737567,1.83896013930615e-05,0.0128093085565463,TRUE,"Up","Group3_WT_None_vs_AHT_None","AHT_None vs WT_None"
"LSM14A_1",192.546054100105,1.84629248946933,0.390991588111791,4.72207726612637,2.33447955459211e-06,0.00266007753188642,TRUE,"Up","Group3_WT_None_vs_AHT_None","AHT_None vs WT_None"
"PFDN6_1",27.7100691938673,-5.62806685305323,1.25754744516803,-4.47543102622361,7.62573144759911e-06,0.00700180796552282,TRUE,"Down","Group3_WT_None_vs_AHT_None","AHT_None vs WT_None"
"TAPBP_1",205.80451033815,1.27998269326761,0.250080388840213,5.11828496110281,3.08326512110395e-07,0.000566199594966362,TRUE,"Up","Group3_WT_None_vs_AHT_None","AHT_None vs WT_None"
"HSPA1B_3",67.3148663839386,1.66866208478131,0.335741195625685,4.97008441776589,6.69237575627328e-07,0.00103989223289785,TRUE,"Up","Group3_WT_None_vs_AHT_None","AHT_None vs WT_None"
"HLA-F_4",34.9712584835418,-3.26776476345923,0.746023285193947,-4.38024499812991,1.18545947465469e-05,0.00957851255520989,TRUE,"Down","Group3_WT_None_vs_AHT_None","AHT_None vs WT_None"
"TAP2_5",177.84498812934,-1.34381244424561,0.28052849245951,-4.79028861725899,1.66541587716225e-06,0.00210258754491734,TRUE,"Down","Group3_WT_None_vs_AHT_None","AHT_None vs WT_None"
"HSPA1B_4",43.8394373486733,2.66947436721319,0.483154235692349,5.52509772244446,3.29302269243785e-08,7.81188389326875e-05,TRUE,"Up","Group3_WT_None_vs_AHT_None","AHT_None vs WT_None"
"IVL",13.9033992819523,-7.06031351085187,1.29743480569894,-5.44174819408242,5.2760218984071e-08,0.000517261186919832,TRUE,"Down","Group4_WT_CIM7_vs_AHT_CIM7","AHT_CIM7 vs WT_CIM7"
"HSPA6",790.593875830396,2.17403352809873,0.484288744605151,4.48912668798705,7.15157579455164e-06,0.0175285122724461,TRUE,"Up","Group4_WT_CIM7_vs_AHT_CIM7","AHT_CIM7 vs WT_CIM7"
"DYRK1B",71.997658228618,4.1401700369874,0.908775037538664,4.55576998263583,5.21940278724203e-06,0.0166579467257321,TRUE,"Up","Group4_WT_CIM7_vs_AHT_CIM7","AHT_CIM7 vs WT_CIM7"
"TIMM17B",28.4229227631872,5.396301133954,1.08494979380003,4.97377958389528,6.56599624214314e-07,0.00321865135789857,TRUE,"Up","Group4_WT_CIM7_vs_AHT_CIM7","AHT_CIM7 vs WT_CIM7"
"RPS9_1",185.184646603243,-1.38236594265512,0.211862773777945,-6.52481754111265,6.80843634884468e-11,1.33499819928147e-06,TRUE,"Down","Group4_WT_CIM7_vs_AHT_CIM7","AHT_CIM7 vs WT_CIM7"
"HSPA1A_3",30.1981779559011,1.81931477244324,0.401768121137047,4.52827060368648,5.94683940637109e-06,0.0166579467257321,TRUE,"Up","Group4_WT_CIM7_vs_AHT_CIM7","AHT_CIM7 vs WT_CIM7"
"RPS9_3",199.487107629714,-2.10687201374054,0.393125575019923,-5.35928504176755,8.35519411056397e-08,0.000546095487066461,TRUE,"Down","Group4_WT_CIM7_vs_AHT_CIM7","AHT_CIM7 vs WT_CIM7"
